Company,Headquarter,Sector,Investor,Amount,Stage,fundyear
Mintoak,Mumbai,FinTech,Pravega Ventures,2000000.0,Pre series A,2020
VestSpace,Pune,Spacetech,Next Capital,10000000.0,Series A,2020
Blackbuck,Bangalore,Logistics,Trifecta Venture,113042969.54307117,Series A,2020
Vernacular ai,Bangalore,Ai,"Exfinity Ventures, IAN Fund",5100000.0,Series A,2020
Clover,Bangalore,Agritech,Alteria Capital,920000.0,Series A,2020
Varthana,Bangalore,FinTech,ChrysCapital,15000000.0,Series D,2020
Codeninja,Bangalore,SaaS,"Hari Balasubramanian, EaSyndicate",113042969.54307117,Seed Round,2020
MetaMerphoSys,Pune,Insurance Technology,Good Capital,113042969.54307117,Pre series A,2020
Rooter,New Delhi,Gaming,"Paytm, leAD Sports, Rockstud Capital, Founder Bank Capital",1700000.0,Pre series A,2020
Aker Foods,Pune,Food & Beverage,Mumbai Angels Network,113042969.54307117,Series A,2020
Sascan Meditech pvt ltd,Kerala,Healthtech,Unicorn India Ventures,113042969.54307117,Series A,2020
DailyHunt,HeadQuarter Unknown,Entertainment,Lupa India,35600000.0,Series A,2020
Pratilipi,Bangalore,Entertainment,Tencent,9400000.0,Series C,2020
Biryani By Kilo,New Delhi,Food,"Devanshu Dolat Desai, Anand M Khatau, Debasish Priyadarshi Purohit, Kaushik Shanghvi",790000.0,Series B,2020
Consure Medical,New Delhi,Healthtech,"Accel Partners, Jungle Ventures",480000.0,Series A,2020
Servify,Mumbai,FinTech,Barkawi,250000.0,Series A,2020
Tessol,Mumbai,Logistics,1Funds Domestic Scheme,160000.0,Series A,2020
Remedo,Noida,Healthtech,RiverRock Ventures,113042969.54307117,Pre series A,2020
News Reach,Ahmedabad,Entertainment,Mumbai Angels Network,113042969.54307117,Series A,2020
RoomSoom,Noida,Real Estate,Mumbai Angels Network,113042969.54307117,Series A,2020
Pedagogy,HeadQuarter Unknown,EdTech,Inflection Point Ventures,400000.0,Series A,2020
Classplus,New Delhi,EdTech,RTP Global,8200000.0,Series B,2020
Medlife,Bangalore,Pharmaceutical,Hero Fincorp,15500000.0,Series A,2020
Qin1,Noida,EdTech,Venture Catalysts,113042969.54307117,Series A,2020
MYSUN,New Delhi,Tech,Undisclosed,4257000.0,Pre series A,2020
ShopX,Bangalore,E-commerce,Li and Fung,1410000.0,Series A,2020
Sarva,HeadQuarter Unknown,Yoga & Wellness,"Mantra Capital, Patni Family",113042969.54307117,Series A,2020
Expertrons,Mumbai,Ai,"Nikhil Vora, Iceland Venture Studio, LetsVenture, Samyakth Capital",113042969.54307117,Seed Round,2020
NewsBytes,Gurugram,Digital Media,North Base Media,1500000.0,Series A,2020
Wagonfly,Bangalore,FinTech,Investment Trust of India,500000.0,Series A,2020
NIRA,HeadQuarter Unknown,FinTech,Angel investors,2100000.0,Pre series A,2020
Convosight,Hyderabad,Data Science,"IvyCap Ventures, Sequoia Capital",4000000.0,Pre series A,2020
Fittr,Pune,Fitness,"Sequoia Capital Surge, Better Capital",2000000.0,Series A,2020
AsknBid,Bangalore,Investment Tech,Ravikanth Reddy & Mumbai Angel Network,113042969.54307117,Series A,2020
Bira91,Bangalore,Beverage,"Sequoia Capital, Sofina",20000000.0,Series C,2020
Finaureus Technologies,Pune,FinTech,Pinetree Capital,113042969.54307117,Pre series A,2020
Daily Ninja,Haryana,E-commerce,Big Basket,349800.0,Series A,2020
Guvi Geek Network Pvt Ltd,Chennai,EdTech,Education Catalyst Fund,786000.0,Pre series A,2020
LoadShare,Bangalore,Logistics,CDC Group,2004000.0,Series B,2020
Vedantu,Bangalore,EdTech,KB Global Platform Firm,6800000.0,Series C,2020
Indusface,HeadQuarter Unknown,It,Tata Capital Growth Fund II,5000000.0,Series A,2020
DMI Group,New Delhi,Finance,NXC Corporation,123000000.0,Series A,2020
Spintly,Goa,Iot,Saltwater Venture Sparks,248000.0,Pre series A,2020
Credr,Mumbai,Automotive,Stride Ventures,113042969.54307117,Series A,2020
Bijak,Gurugram,Agritech,RTP Global,12000000.0,Series A,2020
Bugworks,Bangalore,Biopharma,"University of Tokyo Edge Capital, Global Brain Corporation",7500000.0,Series A,2020
DrinkPrime,Bangalore,FinTech,"Abhishek Goyal, Bharat Jaisinghani, FirstCheque",113042969.54307117,Seed Round,2020
Yap,Chennai,FinTech,BeeNext,4500000.0,Series A,2020
UzhavarBumi,Tamil Nadu,Dairy,Angel Network,113042969.54307117,Series A,2020
Tattva,New Delhi,Beauty & Wellness,"Sukhbir Singh, Rakhee Singal",150000.0,Series A,2020
Pariksha,Pune,EdTech,"INSEAD Angels, IIT Kanpur Angels, Sixth Sense Ventures, Saahil Bhatia",113042969.54307117,Pre series A,2020
DailyHunt,HeadQuarter Unknown,Entertainment,"Bytedance, Falcon Edge, Goldman Sachs, Advent Management",24000000.0,Series A,2020
NoBroker,Bangalore,Real Estate,General Atlantic,30000000.0,Series A,2020
Box8,Mumbai,Food & Beverage,"IIFL Seed Ventures Fund, Menlo park",4000000.0,Series A,2020
Capital Float,Bangalore,FinTech,"Ribbit Capital, SAIF Partners, Sequoia Capital India, Amazon",15000000.0,Series A,2020
ITILITE,Bangalore,Travel & Saas,"Greenoaks Capital, Vy Capital. Matrix Partners India",13000000.0,Series B,2020
Morning Context,HeadQuarter Unknown,Digital Media,Angel investors,113042969.54307117,Seed Round,2020
Aavenir,Ahmedabad,SaaS,Accel,2000000.0,Seed Round,2020
Savvy Co op,HeadQuarter Unknown,Health,Indie VC,113042969.54307117,Series A,2020
BLive,HeadQuarter Unknown,Tourism & Ev,Mumbai Angels Network,113042969.54307117,Pre series A,2020
Yellow Messenger,Bangalore,Ai,"Lightspeed Venture Partners, Lightspeed India Partners.",20000000.0,Series B,2020
Toch,HeadQuarter Unknown,Entertainment,Inflection Point Ventures,400000.0,Series A,2020
Ewar,Bangalore,Gaming,"Jindal Steels, Jeet Banerjee",200000.0,Series A,2020
Setu,HeadQuarter Unknown,FinTech,"Lightspeed Venture, Falcon Edge, Bharat Inclusive Technologies Seed Fund.",14259000.0,Series A,2020
Wellthy Therapeutics,Bangalore,Healthtech,Saama Capital,4000000.0,Pre series A,2020
Power Gummies,New Delhi,Health,Venture Catalysts,113042969.54307117,Series A,2020
Locale ai,Bangalore,Location Analytics,Better Capital,113042969.54307117,Series A,2020
FarEye,New Delhi,Logistics,"M12, Honeywell venture capital, Eight Roads Venture",24500000.0,Series D,2020
Rebel Foods,HeadQuarter Unknown,Food Tech,Coatue Management,50000000.0,Series A,2020
BankBazaar,Chennai,FinTech,"Amazon, Sequoia, Walden SKT Venture Fund",3800000.0,Series D,2020
Porter,Mumbai,Logistics,Lightstone Global Funds,18370000.0,Series D,2020
SugarBox,Mumbai,Tech,Zee Entertainment Enterprises Limited,68525000.0,Series A,2020
Capital Float,Bangalore,FinTech,"Amazon Inc`, Dinesh J Hinduja",4800000.0,Series F,2020
Big Basket,Bangalore,E Store,Alibaba Holdings,60000000.0,Series A,2020
Amica,HeadQuarter Unknown,FinTech,"Hummingbird Ventures, Bedrock Capital",2000000.0,Series A,2020
Vedantu,Bangalore,EdTech,Legend Capital,12500000.0,Series C,2020
Fingerlix,HeadQuarter Unknown,Food,"Accel, Zephyr Peacock, Swiggy, RB Investments.",1834000.0,Series A,2020
Plop,Mumbai,Tech,"Better Capital, LetsVenture, Rohit Chanana, Jayant Kadambi, Sunil Kumar Singhvi",113042969.54307117,Angel Round,2020
Zupee,HeadQuarter Unknown,Gaming,Matrix Partners,8000000.0,Series A,2020
DeHaat,HeadQuarter Unknown,Agritech,Sequoia Capital India,12000000.0,Series A,2020
Lido Learning,Mumbai,EdTech,Bace Capital,7500000.0,Series B,2020
Aye Finance,Gurugram,FinTech,Undisclosed,23850000.0,Series A,2020
Swiggy,Bangalore,Food & Beverage,"Tencent, Ark Impact, Korea Investment Partners, Samsung Ventures, Mirae Asset Capital Markets",43000000.0,Series A,2020
Akna Medical,HeadQuarter Unknown,Healthtech,LGT Lightstone Aspada,7000000.0,Series A,2020
Zomato,Gurugram,Food & Beverage,Pacific Horizon,5000000.0,Series A,2020
RaRa Delivery,HeadQuarter Unknown,Logistics,"Der Shing Lim, 500 startups",800000.0,Seed Round,2020
JusPay,Bangalore,FinTech,Vostok Emerging Finance,21600000.0,Series B,2020
Obviously AI,HeadQuarter Unknown,Data Science,Arka Venture Labs,113042969.54307117,Series A,2020
Fingpay,Mumbai,FinTech,IvyCap Ventures,3500000.0,Series A,2020
Recko,Bangalore,SaaS,Vertex Ventures,6000000.0,Series A,2020
Furlenco,Bangalore,E-commerce,"Chowdry Associates, Lightbox",10000000.0,Series A,2020
Mera Cashier,Noida,FinTech,"Sukhbir Singh, India Accelerator, Boudhik Ventures, Shankar Nath, Shaurya Garg",150000.0,Series A,2020
Kitchens Centre,New Delhi,FinTech,AngelList India,500000.0,Seed Round,2020
Camp K12,Gurugram,EdTech,"Matrix Partners, SAIF Partners",4000000.0,Seed Round,2020
MedGenome,Bangalore,Healthtech,LeapFrog Investments,55000000.0,Series D,2020
Ergos,Bangalore,Agritech,Aavishkar Capital,4598000.0,Series A,2020
Nykaa,Mumbai,E-commerce,Steadview capital,13137000.0,Series A,2020
Samadhan,New Delhi,Insurance,Venture Catalysts,113042969.54307117,Seed Round,2020
SaScan,Bangalore,Health,Unicorn India ventures,113042969.54307117,Series A,2020
Lido Learning,Mumbai,EdTech,"Pecus Capital, Madhur Deora",3000000.0,Series A,2020
CureFit,Bangalore,Health And Fitness,Temasek,115000000.0,Series D,2020
Nimesa,Bangalore,SaaS,Ideaspring capital,113042969.54307117,Series A,2020
Design X,Noida,Iot,ThinkNext LLC,200000.0,Seed Round,2020
Driftly Electric,Bangalore,Automotive,MG Motor India,113042969.54307117,Series A,2020
Imstrong,Bangalore,Fitness,Rainmatter,400000.0,Seed Round,2020
Craftsvilla,Mumbai,Marketplace,Supera Investments,3900000.0,Series A,2020
Rupifi,Bangalore,FinTech,"Ashneer Grover, Kunal Shah, Ramakant Sharma",113042969.54307117,Pre seed round,2020
SnackAmor,Mumbai,Food,Undisclosed,113042969.54307117,Seed Round,2020
Zealthy,Bangalore,Healthtech,"KYT Ventures, First Cheque, AngelList",113042969.54307117,Seed Round,2020
CoinDCX,HeadQuarter Unknown,FinTech,"Polychain Capital, Bain Capital Ventures, HDR Group",3000000.0,Series A,2020
NuNu TV,HeadQuarter Unknown,Entertainment,Risers Accelerators,670000.0,Series A,2020
QTalk,Bangalore,Tech,"Accel India, Lightspeed Venture Partners",1600000.0,Seed Round,2020
Shadez,Mumbai,Interior & Decor,Inflection Point Ventures,100000.0,Seed Round,2020
Excess2Sell,Mumbai,E-commerce,Gautham Madhavan,1000000.0,Series A,2020
Stanplus,Hyderabad,Healthtech,Pegasus FinInvest,1500000.0,Pre series A,2020
Pitstop,Bangalore,Automotive,TPG-backed Group Landmark,2500000.0,Series A,2020
Univariety,Hyderabad,EdTech,Info Edge,1100000.0,Series A,2020
Peel Works,Mumbai,SaaS,CESC Ventures,113042969.54307117,"Series C, D",2020
CoreStack,Chennai,Tech,Naya Ventures,8500000.0,Series A,2020
Vivriti Capital,Chennai,FinTech,LGT Lightstone Aspada,50000000.0,Series B,2020
Agnikul,Chennai,Spacetech,pi Ventures,3148000.0,Pre series A,2020
Fintso,HeadQuarter Unknown,FinTech,"Rajeev Juneja, Pratul Shroff, Dilip Khandelwal, Piyush Gupta",2600000.0,Series A,2020
Khatabook,Bangalore,FinTech,Mahendra Singh Dhoni,113042969.54307117,Series A,2020
Smart Coin,HeadQuarter Unknown,FinTech,LGT LightstoneAspada,7000000.0,Series A,2020
ZunRoof,Gurugram,CleanTech,Godrej Investments,3000000.0,Series A,2020
Shop101,HeadQuarter Unknown,Social E-Commerce,"Stellaris Venture Partners, Unilever Ventures, Kalaari Capital, Vy Capital",3900000.0,Series C,2020
OM Bhakti,Bangalore,Fmcg,Venture Catalysts,113042969.54307117,Seed Round,2020
Lal10,Uttar Pradesh,B2B,Sorenson Impact,1100000.0,Series A,2020
Anaxee Digital Runner,Indore,Tech,Orios Venture Partners,113042969.54307117,Series A,2020
CollegeKhabri,Bhopal,EdTech,Vishal Dixit,113042969.54307117,Series A,2020
Ola Electric,Bangalore,Emobility,Pawan Munjal Family Trust Fund,1000000.0,Series A,2020
Multi Living,Mumbai,Real Estate,Lodha Ventures,6000000.0,Series A,2020
FamPay,Bangalore,FinTech,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed Round,2020
UnboxRobotics Labs,Bangalore,Automation Tech,"Arali Ventures, CIIE.CO",500000.0,Seed Round,2020
Karbon Card,Bangalore,FinTech,"Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed Round,2020
Airmeet,Bangalore,Media & Networking,Accel India,3000000.0,Series A,2020
Innerchef,Gurgaon,Food & Beverage,Mistletoe,1000000.0,Series A,2020
Epigamia,Mumbai,Fmcg,KA Enterprise,113042969.54307117,Series C,2020
StyleNook,Mumbai,E-commerce,"Lead Angels Network, Stanford Angels",113042969.54307117,Series A,2020
Callido Learning,Mumbai,EdTech,Education Catalyst Fund,113042969.54307117,Series A,2020
Soxytoes,New Delhi,E-commerce,Angel network,113042969.54307117,Series A,2020
F5,New Delhi,E-Market,LetsVenture investors,113042969.54307117,Seed Round,2020
Paper Boat,Bangalore,Food & Beverages,"Advent Management, A91 Emerging Fund, Trifecta Venture",4049500.0,Series A,2020
Strata,Bangalore,Proptech,"SAIF Partners, Mayfield India",1500000.0,Seed Round,2020
Salesken,Bangalore,Ai & Data Science,Sequoia India,8000000.0,Series A,2020
Arya,Noida,Agritech,LGT Lightstone Aspada,6000000.0,Series B,2020
Leap Finance,Bangalore,FinTech,Sequoia India,5500000.0,Series A,2020
Sleepy Owl,New Delhi,Beverages,Rukam Capital,113042969.54307117,Series A,2020
Tricog,Bangalore,Healthtech,"UTEC-The University of Tokyo Edge Capital, Aflac Ventures, LLC, Dream Incubator, TeamFund",10500000.0,Series B,2020
GogoBus,New Delhi,Travel Tech,Ixigo,113042969.54307117,Series A,2020
Trell,Bangalore,Social E-Commerce,"Sequoia’s Surge, Fosun RZ",4000000.0,Pre series A,2020
Spaciya Consultants,Noida,Real Estate,Alok Garg,500000.0,Pre series A,2020
Bounce,Bangalore,Automotive And Rentals,InnoVen Capital,6500000.0,Series A,2020
Neeman,HeadQuarter Unknown,E-commerce,Anicut Angel Fund,1000000.0,Pre series A,2020
Chqbook,Gurugram,FinTech,Aavishkaar Capital,5000000.0,Series A,2020
SMEcorner,Mumbai,FinTech,Paragon Partners,30000000.0,Series B,2020
Oda Class,Bangalore,EdTech,Yuanfudao,113042969.54307117,Pre series A,2020
Spinny,Haryana,E-Tail,"Nandan Nilekani, Sanjeev Aggarwal",43700000.0,Series B,2020
goStops,New Delhi,Accomodation,Atraxn Partners.,113042969.54307117,Series A,2020
Umeed Housing,Haryana,FinTech,Morgan Stanley Private Equity Asia,23000000.0,Series D,2020
Vogo,Bangalore,Automotive,Lightstone Aspada,20000000.0,Series C,2020
Flick Stree,Mumbai,Ai & Media,Samsung Venture Investment,3000000.0,Series A,2020
Qure ai,Mumbai,Healthtech,Sequoia India,16000000.0,Series A,2020
MinionLabs,Bangalore,Machine Learning,Indian Angel Network,113042969.54307117,Series A,2020
Josh Talks,Haryana,Entertainment,Media Development Investment Fund,1500000.0,Pre series A,2020
PhoneParLoan,New Delhi,FinTech,Accelerator MOX,113042969.54307117,Series A,2020
RailYatri,Noida,Travel,"Nandan Nilekani, Samsung Venture Investment Corporation",13800000.0,Series A,2020
AjnaLens,Thane,Deeptech,"Maharashtra Defence, Aerospace Venture Fund (MDAVF)",1500000.0,Pre series A,2020
Pepper,Mumbai,Content Marktplace,"Kunal Bahl, Rohit Bansal",306900.0,Seed funding,2020
Rupeek,Bangalore,FinTech,"GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners",30000000.0,Series A,2020
iMerit,Kolkata,It,CDC Group Plc,20000000.0,Series B,2020
BharatPe,New Delhi,FinTech,Ribbit Capital,75000000.0,Series C,2020
Invideo,HeadQuarter Unknown,Visual Media,Sequoia Capital’s Surge,2500000.0,Series A,2020
AvalonMeta,HeadQuarter Unknown,EdTech,Peerplays,420000.0,Series A,2020
Near Store,Mumbai,E-commerce,Sauce.vc,300000.0,Seed Round,2020
ElecTorq,New Delhi,Automotive,AdvantEdge,113042969.54307117,Series A,2020
Prayaan Capital,Chennai,FinTech,Accion Venture Lab,1200000.0,Seed Round,2020
Sanfe,New Delhi,Hygiene,"SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Pre series A,2020
Go Desi,New Delhi,Food & Beverage,Rukam Capital,627300.0,Seed Round,2020
Swiggy,Bangalore,Food & Beverage,Prosus N.V,113000000.0,Series A,2020
Whatfix,Banglore,SaaS,Sequoia Capital India,32000000.0,Series C,2020
Unacademy,Bangalore,EdTech,"Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures",110000000.0,Series E,2020
Zvesta,Gurugram,Proptech,Hindustan Media Ventures,5500000.0,Series A,2020
Dunzo,Bangalore,Logistics,Alteria Capital,11000000.0,Series A,2020
Digit Insurance,Bangalore,Insurtech,"Virat Kohli, Anushka Sharma",340000.0,Series A,2020
Yolo,Gurugram,Logistics,Undisclosed,600000.0,Seed funding,2020
SmartVizX,HeadQuarter Unknown,Vr & Saas,Rockstud Capital,1397000.0,Pre series A,2020
MaxWholesale,New Delhi,E-commerce,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series A,2020
Carbon Clean,HeadQuarter Unknown,CleanTech,"WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.",16000000.0,Series A,2020
Onsitego,HeadQuarter Unknown,Sales & Services,Zodius Growth Fund,19000000.0,Series B,2020
Genius Corner,Noida,EdTech,"Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats",250000.0,Series A,2020
PlanetSpark,Gurugram,EdTech,"Indian Angel Network, Lead Angels, Hyderabad Angels",448500.0,Series A,2020
CamCom,Bangalore,Ai & Deep Learning,"Triton Investment Advisors,",113042969.54307117,Series A,2020
Simsim,Bangalore,Social Commerce,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series B,2020
Shuttl,New Delhi,Logistics,SIG Global India Fund,7975700.0,Series C,2020
HooLiv,New Delhi,Real Estate,Kolte-Patil Family Office,113042969.54307117,Series A,2020
ClassMonitor,Indore,EdTech,Ashwin Khorana,113042969.54307117,Series A,2020
Friyey,Pune,Co-Working,Tarun Bhalla,113042969.54307117,Series A,2020
Oga,Bangalore,Fitness,Inflection Point Ventures,330000.0,Series A,2020
Big Basket,Bangalore,Estore,Trifecta Capital,3500000.0,Series A,2020
CYFIRMA,Bangalore,SaaS,Z3 Partners,113042969.54307117,Series A,2020
Innoviti,Bangalore,FinTech,FMO,5000000.0,Series A,2020
Paytm money,Bangalore,FinTech,One97 Communications,5600000.0,Series A,2020
Vedantu,Bangalore,EdTech,GGV Capital,24000000.0,Series C,2020
Yap,Chennai,FinTech,"Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,Series A,2020
Clover,Bangalore,Agritech,"Omnivore, Accel Partners, Mayfield",5500000.0,Series A,2020
Nova Credit,HeadQuarter Unknown,FinTech,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.",50000000.0,Series B,2020
CodingNinjas,New Delhi,EdTech,Info Edge Ltd,5200000.0,Series A,2020
Furlenco,Bangalore,E-commerce,Chowdry Associates,2200000.0,Series C,2020
Brick&Bolt,Bangalore,FinTech,Surge,1500000.0,Pre series A,2020
HempStreet,HeadQuarter Unknown,Healthtech,Pharmacon Holdings,1000000.0,Pre series A,2020
MoEngage,Bangalore,Marketing,Eight Roads Ventures,25000000.0,Series C,2020
Classplus,HeadQuarter Unknown,EdTech,"Blume Ventures, Sequoia",2500000.0,Pre series A,2020
Chaayos,HeadQuarter Unknown,Beverages,Think Investment,21500000.0,Series A,2020
PetPooja,Ahmedabad,SaaS,Udaan,2000000.0,Series A,2020
Altor,HeadQuarter Unknown,Tech,Venture Catalysts,113042969.54307117,Series A,2020
Pepperfry,Mumbai,E-Market,Pidilite Industries,40000000.0,Series F,2020
FirstCry,Pune,E-Market,Softbank’s Vision Fund,296000000.0,Series E,2020
Byju,HeadQuarter Unknown,EdTech,General Atlantic,200000000.0,Series A,2020
Waycool,Chennai,Agritech,LightBox Ventures,32000000.0,Series C,2020
WorkIndia,HeadQuarter Unknown,Hr Tech,Xiaomi,6000000.0,Series A,2020
Qyuki,Mumbai,Entertainment,Info Edge Venture Fund,3500000.0,Series A,2020
Leap India,Coimbatore,Agritech,Neev Fund,30000000.0,Series B,2020
Picxy,Hyderabad,Entertainment,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000.0,Series A,2020
Krimanshi,Jodhpur,Agritech,Arunachal Pradesh Social Entrepreneurship Meet,20000.0,Series A,2020
NEETprep,New Delhi,EdTech,IndiaQuotient,113042969.54307117,Series A,2020
Dot Pvt. Ltd,Gurugram,FinTech,"PayU, Fosun RZ Capital",8000000.0,Seed Round,2020
Kuku FM,Mumbai,Entertainment,Vertex Ventures,5500000.0,Series A,2020
SuperMoney,Mumbai,FinTech,Unitus Ventures.,1000000.0,Pre series A,2020
Rebel Foods,HeadQuarter Unknown,Food Tech,Alteria Capital,4900000.0,Series A,2020
AlphaVector,Bangalore,E Tailor,"Avaana Capital, Titan Capital",113042969.54307117,Series A,2020
Fox Capital,Jaipur,FinTech,Institutional Investors,2500000.0,Series A,2020
Tribe Theory,Bangalore,Accomodation,Tim Draper,3500000.0,Series A,2020
Fleetx,HeadQuarter Unknown,SaaS,Beenext,1402400.0,Series A,2020
Embibe,Mumbai,EdTech,Reliance Industries Limited (RIL),12618300.0,Series A,2020
Entri,Kochi,EdTech,Good Capital,1400000.0,Seed Round,2020
Oye! Rickshaw,HeadQuarter Unknown,E-Mobility,Chiratae Ventures,10000000.0,Series A,2020
Seal Professional,Bangalore,EdTech,Equanimity Ventures,113042969.54307117,Pre series A,2020
Sprinng Foods,Mumbai,Food,"Mistletoe, Info Edge Asia",113042969.54307117,Series A,2020
1MG,Gurugram,Healthtech,Bill & Melinda Gates Foundation,9900000.0,Series A,2020
Aagey,Bangalore,FinTech,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",113042969.54307117,Series A,2020
Doubtnut,Gurugram,EdTech,Tencent,15000000.0,Series A,2020
AdonMo,Bangalore,Ad-Tech,Ant Financial,3000000.0,Series A,2020
RACEnergy,HeadQuarter Unknown,E-Mobility,"GrowX ventures, Prophetic Ventures",113042969.54307117,Seed Round,2020
BharatPe,New Delhi,FinTech,Coatue Management,100000000.0,Series A,2020
Kisan Network,Gurugram,Agritech,Atsushi Taira,3000000.0,Seed Round,2020
Vogo,Bangalore,Automotive,Lightstone Aspada,35000000.0,Series C,2020
Yolo,Gurugram,Logistics,Undisclosed,600000.0,Seed Round,2020
Unotech,Mumbai,SaaS,Manish Choksi,2000000.0,Series A,2020
Zetwerk,Bangalore,Marketplace,InnoVen capital,2200000.0,Series A,2020
CureSkin,Bangalore,Healthtech,SenseAI Ventures,500000.0,Series A,2020
WizKlub,Bangalore,EdTech,Incubate Fund India,982530.0,Seed Funding,2020
Interviewbit,Pune,EdTech,"Tiger Global Management, Sequoia Capital India, Singapore’s Economic Development Board (EBD)",200000000.0,Series A,2020
MoneyTap,HeadQuarter Unknown,FinTech,"Aquiline Technology Growth (ATG), RTP Global, Sequoia India",70185200.0,Series B,2020
Uniplatform Tech,New Delhi,SaaS,"Frontline Strategy Finds, SucSEED Venture Partners LLP",113042969.54307117,Series A,2020
INdwealth,Gurugram,FinTech,"Tiger Global, Steadview Capital, DF International Private Partners",12000000.0,Series C,2020
Bizongo,Mumbai,Marketplace,Schroder Adveq,30000000.0,Series C,2020
AppsFlyer,Bangalore,SaaS,General Atlantic,210000000.0,Series D,2020
Digit Insurance,Bangalore,Insurtech,"A91 Partners, Faering Capital, TVS Capital",84000000.0,Series A,2020
Livspace,Bangalore,Interior Design,"Tahoe Investment Group, Mercer Investment",60000000.0,Series D,2020
GetVantage,Mumbai,FinTech,"Samyakth Capital, Venture Catalysts",113042969.54307117,Seed Round,2020
Konfinity,Noida,EdTech,Angel investors,113042969.54307117,Series A,2020
Pine Labs,Noida,FinTech,Mastercard,113042969.54307117,Series A,2020
Instoried,New Delhi,SaaS,"SOSV, Chinaccelerator",113042969.54307117,Series A,2020
Nupay,Haryana,Neo-Banking,Venture Catalysts,113042969.54307117,Series A,2020
LogiNext,HeadQuarter Unknown,Transport Automation,"Tiger Global, Steadview Capital",39000000.0,Series B,2020
Samosa Singh,Bangalore,Food,She Capital,2700000.0,Series A,2020
Crysta,New Delhi,Healthtech,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli",1403400.0,Pre Series A,2020
Eupheus Learning,New Delhi,EdTech,Yuj Ventures,4300000.0,Series A,2020
Bounce,Bangalore,Automotive And Rentals,"Accel Partners, B Capital",105000000.0,Series D,2020
Park+,HeadQuarter Unknown,Tech,"Sequoia Capital, Matrix Partners India",11000000.0,Series A,2020
Goodmylk,Bangalore,Dairy,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest",400000.0,Seed Round,2020
SmartKarrot,HeadQuarter Unknown,SaaS,Angel investors,1000000.0,Series A,2020
Skylo,HeadQuarter Unknown,Iot,SoftBank Group,103000000.0,Series B,2020
Tea Trunk,Goa,Beverage,Angel investors,220000.0,Series A,2020
Zoomcar,Bangalore,Logistics,Sony Innovation Fund,30000000.0,Series D,2020
Mera Cashier,Noida,FinTech,"Amit Singal, Manish Aggarwal",250000.0,Seed Round,2020
Samya AI,HeadQuarter Unknown,SaaS,Sequoia India,6000000.0,Seed Round,2020
Kristal AI,HeadQuarter Unknown,Ai,Chiratae Ventures,6000000.0,Series A,2020
Invento Robotics,HeadQuarter Unknown,Ai Robotics,"Windrose Capital, ITI Growth Opportunities Venture Fund",281300.0,Seed Round,2020
Zimyo,Gurugram,Hr Tech,Yatra Angel Network (YAN),113042969.54307117,Series A,2020
Sabse Sasta Dukaan,Kolkata,Pharmaceutical,Angel investors,113042969.54307117,Series A,2020
Fitphilia,Mumbai,Healthtech,Angel investors,113042969.54307117,Series A,2020
Medicus,Mumbai,Healthtech,Angel investors,12700.0,Series A,2020
Monech,Mumbai,FinTech,Angel investors,12700.0,Seed Round,2020
Teach Us,HeadQuarter Unknown,EdTech,Angel investors,12700.0,Seed Round,2020
Dealberg,Bangalore,B2B Marketplace,Undisclosed,113042969.54307117,Series A,2020
Phenom People,HeadQuarter Unknown,Hr Tech,WestBridge Capital,30000000.0,Series C,2020
Extra Edge,Pune,EdTech,"Sprout Venture Partners, Indian Angel Network",700000.0,Pre Series A,2020
Capital Quotient,Bangalore,FinTech,Undisclosed,600000.0,Series A,2020
Karfa,New Delhi,E-commerce,Undisclosed,25000.0,Seed Round,2020
Gamerji,HeadQuarter Unknown,Gaming,La Gajjar Group,400000.0,Series A,2020
Bounce,Bangalore,Automotive And Rentals,"Accel Partners, B Capital",97500000.0,Series D,2020
Zinier,Bangalore,Automation,ICONIQ Capital,90000000.0,Series C,2020
ProEves,New Delhi,Preschool Daycare,1Crowd,507000.0,Seed Round,2020
Toddle,Bangalore,FinTech,Matrix Partners India,113042969.54307117,Series A,2020
Aesthetic Nutrition,HeadQuarter Unknown,Food Diet,DSG Consumer Partners,113042969.54307117,Pre Series A,2020
Capital Float,Bangalore,FinTech,"Sequoia Capital, Ribbit Capital, Amazon, Saif Partners",15000000.0,Series A,2020
